"","Year","Trip No","Set No","G Stat Area","Start Latitude Decimal Degrees","Start Longitude Decimal Degree","total_hagfish"
"1",1997,1,1,315502,55.013833,-131.722,11
"2",1997,1,2,315502,55.047333,-131.8175,36
"3",1997,1,3,315502,55.159167,-131.91,1
"4",1997,1,4,315502,55.331167,-132.001333,12
"5",1997,1,6,315502,55.292833,-131.934833,5
"6",1997,1,7,315502,55.344667,-131.981833,6
"7",1997,1,8,315502,55.432,-131.987167,8
"8",1997,1,10,325531,55.501,-132.134333,1
"9",1997,1,11,315502,55.473667,-131.983167,5
"10",1997,1,12,325531,55.631333,-132.312,3
"11",1997,1,13,325531,55.625833,-132.274333,7
"12",1997,1,14,325531,55.6235,-132.260833,2
"13",1997,1,16,325531,55.568333,-132.225333,2
"14",1997,1,17,325531,55.607667,-132.276,1
"15",1997,2,8,315432,54.698833,-131.735,2
"16",1997,2,10,315432,54.799333,-131.843833,2
"17",1997,2,12,315432,54.85,-131.940833,3
"18",1997,2,14,315432,54.906167,-131.803333,3
"19",1997,2,15,315432,54.92,-131.8605,4
"20",1997,2,18,315432,54.864667,-131.7095,2
"21",1998,1,1,325531,55.656333,-132.318833,1
"22",1998,1,2,325531,55.647167,-132.288,1
"23",1998,1,3,325531,55.599,-132.294,1
"24",1998,1,4,325531,55.622667,-132.260167,1
"25",1998,1,5,325531,55.5835,-132.253667,1
"26",1998,1,9,325531,55.501667,-132.134667,1
"27",1998,1,10,315502,55.4745,-131.985833,1
"28",1998,1,13,315502,54.989333,-131.712833,2
"29",1998,1,14,315502,55.048667,-131.8195,1
"30",1998,1,17,315502,55.292,-131.935667,2
"31",1998,1,18,315502,55.308667,-131.979,2
"32",1998,1,19,315502,55.347167,-131.982167,1
"33",1998,2,1,315432,54.919833,-131.804167,3
"34",1998,2,2,315432,54.906,-131.928667,17
"35",1998,2,3,315432,54.900333,-131.858333,4
"36",1998,2,8,315401,54.51,-131.818333,3
"37",1998,2,12,315432,54.699,-131.734333,2
"38",1998,2,13,315432,54.796667,-131.708333,3
